,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
0,26.0,Male,Munich,Software Engineer,5,3,Senior,TypeScript,"Kotlin, Javascript / Typescript",80000.0,5000,75000.0,10000,30,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,No,0.0,0
1,26.0,Male,Berlin,Backend Developer,7,4,Senior,Ruby,No Response,80000.0,0,82000.0,5000,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
2,29.0,Male,Berlin,Software Engineer,12,6,Lead,Javascript / Typescript,"Javascript / Typescript, Docker",120000.0,120000,100000.0,100000,30,Self-employed,Temporary contract,English,101-1000,Utilities and Manufacturing,Yes,0.0,0
3,28.0,Male,Berlin,Frontend Developer,4,1,Junior,Javascript,No Response,54000.0,0,No Response,No Response,24,Full-time,Unlimited contract,English,51-100,Entrepreneurship,No,0.0,0
4,37.0,Male,Berlin,Backend Developer,17,6,Senior,C# .NET,".NET, SQL, AWS, Docker",62000.0,0,62000.0,No Response,29,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
5,32.0,Male,Berlin,DevOps,5,1,Senior,"AWS, GCP, Python,K8s","Python, AWS, Google Cloud, Kubernetes, Docker",76000.0,5000,76000.0,5000,30,Full-time,Unlimited contract,English,11-50,Entrepreneurship,No,0.0,0
6,37.0,Male,Berlin,Frontend Developer,6,0.4,Middle,Javascript,No Response,57000.0,0,No Response,No Response,24,Full-time,Unlimited contract,English,11-50,Utilities and Manufacturing,No,0.0,0
7,24.0,Male,Berlin,Frontend Developer,5,1,Senior,Typescript,Javascript / Typescript,65000.0,0,65000.0,No Response,27,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,600
8,29.0,Male,Berlin,Backend Developer,8,2,Senior,PHP,"SQL, AWS, Docker",56000.0,0,55000.0,No Response,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,30.0,0
9,35.0,Male,Berlin,Software Engineer,15,3,Lead,Java,No Response,95000.0,0,90000.0,No Response,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
10,32.0,Female,Hamburg,Data Engineer,2,2,Junior,Aws Hadoop Postgre Typescript,"Python, Kotlin, Javascript / Typescript, SQL, AWS",52500.0,0,52500.0,No Response,30,Full-time,Unlimited contract,German,101-1000,Business Services,No,0.0,0
11,34.0,Male,Berlin,Software Engineer,14,5,Senior,Typescript,"PHP, Javascript / Typescript, AWS",70000.0,0,No Response,No Response,28,Full-time,Unlimited contract,English,11-50,Entrepreneurship,No,0.0,0
12,31.0,Male,Wolfsburg,Backend Developer,5,1,Senior,Kotlin,No Response,75000.0,2000,75000.0,2000,25,Full-time,Unlimited contract,English,101-1000,Business Services,No,0.0,0
13,29.0,Male,Hamburg,Backend Developer,7,3,Middle,Ruby,"Go, Kubernetes, Docker",60350.0,0,58000.0,500,31,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
14,27.0,Male,Berlin,Backend Developer,8,3,Senior,PHP,No Response,60000.0,0,55000.0,No Response,25,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
15,34.0,Male,Berlin,Mobile Developer,11,5,Lead,kotlin,"Kotlin, Javascript / Typescript, AWS, Google Cloud, Kubernetes, Docker",80000.0,80000,75000.0,75000,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
16,34.0,Male,Berlin,Software Architect,15,9,Lead,NodeJS,"Javascript / Typescript, SQL, Go, AWS, Kubernetes, Docker, Terraform",100000.0,0,92000.0,7000,24,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
17,25.0,Male,Berlin,Software Engineer,5,2,Senior,Javascript,"Javascript / Typescript, AWS, Docker",65000.0,0,No Response,No Response,28,Full-time,Unlimited contract,German,1000+,Utilities and Manufacturing,No,0.0,0
18,59.0,Male,Berlin,Backend Developer,30,30,Senior,Java,"Kotlin, Java / Scala, SQL",69000.0,0,69000.0,2000,28,Full-time,Unlimited contract,German,101-1000,Utilities and Manufacturing,No,0.0,0
19,36.0,Male,Berlin,Software Engineer,17,2,Lead,PHP,"Python, C/C++, Javascript / Typescript, SQL, Go, AWS, Docker",70000.0,0,65000.0,No Response,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
20,38.0,Male,Berlin,Team Lead,18,4,Lead,iOS,"Swift, AWS",80000.0,4000,80000.0,2000,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,Yes,0.0,0
21,24.0,Male,Berlin,DevOps,6,3,Senior,Kubernetes,"Python, AWS, Google Cloud, Kubernetes, Docker",75000.0,10000,63000.0,No Response,27,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
22,37.0,Male,Berlin,Test manager,6,6,Middle,Charles,No Response,47400.0,1000,44000.0,1000,28,Full-time,Unlimited contract,German,1000+,"Tech, Media and Telecom",No,0.0,0
23,40.0,Male,Berlin,Product Manager,13,1,Senior,SQL,Python,70000.0,0,No Response,No Response,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,200
24,29.0,Male,Berlin,Software Engineer,6,4,Lead,Go,"Python, Go, AWS, Kubernetes, Docker",85000.0,5000,78000.0,No Response,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,1100
25,31.0,Male,Berlin,Backend Developer,5,1,Middle,java,Kotlin,65000.0,0,No Response,No Response,28,Full-time,Unlimited contract,English,101-1000,Entrepreneurship,No,0.0,0
26,39.0,Male,Berlin,Software Engineer,8,5,Senior,Java,"Python, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",80000.0,0,80000.0,No Response,29,Full-time,Unlimited contract,English,51-100,Entrepreneurship,No,30.0,0
27,27.0,Male,Berlin,Software Engineer,8,1,Middle,Javascript,No Response,63000.0,101,No Response,No Response,24,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
28,33.0,Male,Berlin,Data Scientist,5,4,Lead,Python,"Python, R, Google Cloud, Docker",150000.0,80000,81000.0,4000,24,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,1
29,28.0,Female,Berlin,Designer (UI/UX),7,7,Middle,Figma,No Response,45000.0,0,37000.0,No Response,28,Full-time,Unlimited contract,German,1000+,Utilities and Manufacturing,No,0.0,0
30,30.0,Male,Berlin,Software Engineer,8,3,Senior,JavaScript,"Python, Javascript / Typescript, Java / Scala, Go, Kubernetes, Docker",80000.0,0,72000.0,3500,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
31,28.0,Male,Berlin,Backend Developer,5,1,Senior,Kotlin,"Python, Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker",75000.0,0,58000.0,No Response,25,Full-time,Unlimited contract,English,101-1000,Entrepreneurship,No,0.0,0
32,38.0,Male,Berlin,DevOps,10,5,Senior,Go/Python,"AWS, Kubernetes, Docker",70000.0,0,65000.0,No Response,30,Full-time,Unlimited contract,English,51-100,Entrepreneurship,No,0.0,0
33,29.0,Male,Berlin,Frontend Developer,7,2,Senior,React,Javascript / Typescript,72000.0,12000,63000.0,No Response,27,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,1000
34,49.0,Male,Berlin,Software Engineer,15,15,Senior,Java,SQL,67000.0,1500,66000.0,No Response,29,Full-time,Unlimited contract,German,1000+,Utilities and Manufacturing,No,0.0,0
35,32.0,Male,Berlin,Frontend Developer,10,5,Senior,TypeScript,"AWS, Kubernetes",105000.0,0,80000.0,No Response,60,Self-employed,Temporary contract,English,101-1000,Utilities and Manufacturing,Yes,0.0,5000
36,30.0,Male,Berlin,Software Engineer,6,3,Senior,Java,"Kotlin, AWS, Kubernetes, Docker",74000.0,15000,54000.0,54000,27,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
37,48.0,Male,Berlin,Software Engineer,25,11,Senior,Java,"Kotlin, Java / Scala, SQL",75000.0,0,75000.0,No Response,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
38,32.0,Male,Berlin,Backend Developer,3,1,Middle,Java,"AWS, Kubernetes, Docker",77000.0,0,62000.0,No Response,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
39,31.0,Male,Berlin,Software Engineer,7,3,Lead,Python,"Python, SQL, Google Cloud, Kubernetes, Docker",76000.0,10000,69000.0,No Response,27,Full-time,Unlimited contract,English,101-1000,Entrepreneurship,No,0.0,0
40,35.0,Male,Berlin,Backend Developer,10,7,Senior,Ruby,"Go, AWS, Kubernetes, Docker, Elixir",75000.0,0,72000.0,15000,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,500
41,28.0,Female,Berlin,Designer (UI/UX),7,7,Middle,Figma,No Response,45000.0,0,37000.0,No Response,28,Full-time,Unlimited contract,German,1000+,Utilities and Manufacturing,No,0.0,0
42,32.0,Male,Berlin,Backend Developer,8,5,Senior,PHP,"PHP, SQL, AWS, Kubernetes, Docker",65000.0,0,60000.0,No Response,30,Full-time,Unlimited contract,English,11-50,Utilities and Manufacturing,No,0.0,0
43,44.0,Male,Berlin,Backend Developer,12,3,Senior,Java,"SQL, Go, Kubernetes, Docker",68000.0,0,68000.0,No Response,26,Full-time,Unlimited contract,English,11-50,Utilities and Manufacturing,No,0.0,0
