,Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Number of vacation days,Employment status,Main language at work,Company size,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
0,24/11/2020 11:14:15,26.0,Male,Munich,Software Engineer,5,3,Senior,TypeScript,80000.0,5000,30,Full-time employee,English,51-100,No,0.0,0
1,24/11/2020 11:14:16,26.0,Male,Berlin,Backend Developer,7,4,Senior,Ruby,80000.0,0,28,Full-time employee,English,101-1000,No,0.0,0
2,24/11/2020 11:14:21,29.0,Male,Berlin,Software Engineer,12,6,Lead,Javascript / Typescript,120000.0,120000,30,Self-employed (freelancer),English,101-1000,Yes,0.0,0
3,24/11/2020 11:15:24,28.0,Male,Berlin,Frontend Developer,4,1,Junior,Javascript,54000.0,0,24,Full-time employee,English,51-100,No,0.0,0
4,24/11/2020 11:15:46,37.0,Male,Berlin,Backend Developer,17,6,Senior,C# .NET,62000.0,0,29,Full-time employee,English,101-1000,No,0.0,0
5,24/11/2020 11:15:53,32.0,Male,Berlin,DevOps,5,1,Senior,"AWS, GCP, Python,K8s",76000.0,5000,30,Full-time employee,English,11-50,No,0.0,0
6,24/11/2020 11:16:35,37.0,Male,Berlin,Frontend Developer,6,0.4,Middle,Javascript,57000.0,0,24,Full-time employee,English,11-50,No,0.0,0
7,24/11/2020 11:16:44,24.0,Male,Berlin,Frontend Developer,5,1,Senior,Typescript,65000.0,0,27,Full-time employee,English,1000+,No,0.0,600
8,24/11/2020 11:17:24,29.0,Male,Berlin,Backend Developer,8,2,Senior,PHP,56000.0,0,28,Full-time employee,English,101-1000,No,30.0,0
9,24/11/2020 11:17:50,35.0,Male,Berlin,Software Engineer,15,3,Lead,Java,95000.0,0,30,Full-time employee,English,101-1000,No,0.0,0
10,24/11/2020 11:18:06,32.0,Female,Hamburg,Data Engineer,2,2,Junior,Aws Hadoop Postgre Typescript,52500.0,0,30,Full-time employee,German,101-1000,No,0.0,0
13,24/11/2020 11:18:26,34.0,Male,Berlin,Software Engineer,14,5,Senior,Typescript,70000.0,0,28,Full-time employee,English,11-50,No,0.0,0
15,24/11/2020 11:18:41,31.0,Male,Wolfsburg,Backend Developer,5,1,Senior,Kotlin,75000.0,2000,25,Full-time employee,English,101-1000,No,0.0,0
16,24/11/2020 11:18:52,29.0,Male,Hamburg,Backend Developer,7,3,Middle,Ruby,60350.0,0,31,Full-time employee,English,1000+,i didn't but will be looking for new one because of covid,0.0,0
18,24/11/2020 11:20:03,27.0,Male,Berlin,Backend Developer,8,3,Senior,PHP,60000.0,0,25,Full-time employee,English,1000+,No,0.0,0
19,24/11/2020 11:20:49,34.0,Male,Berlin,Mobile Developer,11,5,Lead,kotlin,80000.0,80000,28,Full-time employee,English,101-1000,No,0.0,0
21,24/11/2020 11:21:18,34.0,Male,Berlin,Software Architect,15,9,Lead,NodeJS,100000.0,0,24,Full-time employee,English,1000+,No,0.0,0
22,24/11/2020 11:22:57,25.0,Male,Berlin,Software Engineer,5,2,Senior,Javascript,65000.0,0,28,Full-time employee,German,1000+,No,0.0,0
23,24/11/2020 11:23:11,59.0,Male,Berlin,Backend Developer,30,30,Senior,Java,69000.0,0,28,Full-time employee,German,101-1000,No,0.0,0
24,24/11/2020 11:23:53,36.0,Male,Berlin,Software Engineer,17,2,Lead,PHP,70000.0,0,28,Full-time employee,English,101-1000,No,0.0,0
25,24/11/2020 11:25:03,38.0,Male,Berlin,Team Lead,18,4,Lead,iOS,80000.0,4000,28,Full-time employee,English,101-1000,Yes,0.0,0
26,24/11/2020 11:25:20,24.0,Male,Berlin,DevOps,6,3,Senior,Kubernetes,75000.0,10000,27,Full-time employee,English,101-1000,No,0.0,0
